CODEREG,NOM_REGION,CODEDIST,NOM_DISTRI,CODECOM,NOM_COMMUN,ETAT_COMMU,SOURCE,HECTARES,MIS_A_JOUR
"14",VAKINANKARATRA,"1407",BETAFO,"140711",Betafo,,terrain,5322.855,"2002"
"14",VAKINANKARATRA,"1407",BETAFO,"140714",Ambohijato Mandritsara,,terrain,4596.273,"2002"
"14",VAKINANKARATRA,"1407",BETAFO,"140706",Ranomafana,nouvelle,commune,2621.097,"2006"
"14",VAKINANKARATRA,"1404",ANTSIRABE II,"140418",Soanindrariny,,terrain,12241.576,"2002"
"14",VAKINANKARATRA,"1404",ANTSIRABE II,"140411",Antanimandry,nouvelle,commune,2169.455,"2006"
"14",VAKINANKARATRA,"1403",ANTSIRABE I,"140301",6eme Arrondissement,,terrain,2490.985,"2002"
"14",VAKINANKARATRA,"1404",ANTSIRABE II,"140410",Antanambao,,,30113.855,"2000"
"14",VAKINANKARATRA,"1402",ANTANIFOTSY,"140211",Antsampandrano,,terrain,54952.730,"2002"
"14",VAKINANKARATRA,"1403",ANTSIRABE I,"140301",5eme Arrondissement,,terrain,1304.385,"2002"
"14",VAKINANKARATRA,"1407",BETAFO,"140713",Mahaiza,,terrain,24617.875,"2002"
"14",VAKINANKARATRA,"1407",BETAFO,"140701",Alakamisy Anativato,,,2760.907,"2000"
"14",VAKINANKARATRA,"1403",ANTSIRABE I,"140301",4eme Arrondissement,,terrain,2344.870,"2002"
"14",VAKINANKARATRA,"1403",ANTSIRABE I,"140301",1er Arrondissement,,terrain,2009.739,"2002"
"14",VAKINANKARATRA,"1404",ANTSIRABE II,"140413",Belazao,,,3014.780,"2000"
"14",VAKINANKARATRA,"1404",ANTSIRABE II,"140406",Ambohidranandriana,,terrain,7562.716,"2002"
"14",VAKINANKARATRA,"1403",ANTSIRABE I,"140301",2eme Arrondissement,,terrain,1238.006,"2002"
"14",VAKINANKARATRA,"1407",BETAFO,"140717",Tritriva,,terrain,6352.739,"2002"
"14",VAKINANKARATRA,"1403",ANTSIRABE I,"140301",3eme Arrondissement,,terrain,2666.526,"2002"
"14",VAKINANKARATRA,"1404",ANTSIRABE II,"140408",Ambohitsimanova,,,15219.543,"2000"
"14",VAKINANKARATRA,"1407",BETAFO,"140708",Anosiarivo Manapa,nouvelle,commune,52939.908,"2004"
"14",VAKINANKARATRA,"1404",ANTSIRABE II,"140416",Mangarano,,terrain,7406.452,"2002"
"14",VAKINANKARATRA,"1404",ANTSIRABE II,"140419",Tsarahonenana,,terrain,20895.018,"2002"
"14",VAKINANKARATRA,"1404",ANTSIRABE II,"140420",Vinaninkarena,,,6994.429,"2000"
